tag,des,des_2
DB00066,"Follitropin is a human follicle stimulating hormone (FSH) preparation of recombinant DNA origin, which consists of two non-covalently linked, non-identical glycoproteins designated as the alpha- and beta- subunits. The alpha- and beta- subunits have 92 and 111 amino acids. The alpha subunit is glycosylated at Asn 51 and Asn 78 while the beta subunit is glycosylated at Asn 7 and Asn 24. Follitropin beta is produced in genetically engineered Chinese hamster cell lines (CHO). The nomenclature ¡°beta¡± differentiates it from another recombinant human FSH product that was marketed earlier as follitropin alpha. Follitropin is important in the development of follicles produced by the ovaries. Given by subcutaneous injection, it is used in combination with human chorionic gonadotropin (hCG) to assist in ovulation and fertility. Follitropin may also be used to cause the ovary to produce several follicles, which can then be harvested for use in gamete intrafallopian transfer (GIFT) or in vitro fertilization (IVF).  Numerous physio-chemical tests and bioassays indicate that follitropin beta and follitropin alpha are indistinguishable. However, a more recent study showed there is may be a slight clinical difference, with the alpha form tending towards a higher pregnancy rate and the beta form tending towards a lower pregnancy rate, but with significantly higher estradiol (E2) levels. Structural analysis shows that the amino acid sequence of follitropin beta is identical to that of natural human follicle stimulating hormone (FSH). Further, the ogliosaccharide side chains are very similar, but not completely identical to that of natural FSH. However, these small differences do not affect the bioactivity compared to natural FSH.","In women having been diagnosed with primary ovarian failure, it is used in combination with human chorionic gonadotropin (hCG) to assist in ovulation and fertility. In men with hypogonadotrophic hypogonadism, it is used to induce spermatogenesis. Follitropin may also be used to cause the ovary to produce several follicles, which can then be harvested for use in gamete intrafallopian transfer (GIFT) or in vitro fertilization (IVF)."
DB00067,"Antidiuretic hormone, also known as vasopressin, is a nine amino acid peptide secreted from the posterior pituitary. Antidiuretic hormone binds to receptors in the distal or collecting tubules of the kidney and promotes reabsorbtion of water back into the circulation","For the treatment of enuresis, polyuria, diabetes insipidus, polydipsia and oesophageal varices with bleeding"
DB00068,"Human interferon beta (165 residues), cysteine 17 is substituted with serine. Produced in E. coli, no carbohydrates, MW=18.5kD",Interferon beta-1b is a drug used for the treatment of relapsing/remitting multiple sclerosis. It has been shown to slow the advance of the disease as well as to decrease the frequency of attacks.
DB00069,"Interferon alfacon-1 is a recombinant non-naturally occurring type-I interferon. The 166-amino acid sequence of Interferon alfacon-1 was derived by scanning the sequences of several natural interferon alpha subtypes and assigning the most frequently observed amino acid in each corresponding position. Four additional amino acid changes were made to facilitate the molecular construction, and a corresponding synthetic DNA sequence was constructed using chemical synthesis methodology. Interferon alfacon-1 differs from interferon alfa-2b at 20/166 amino acids (88% homology), and comparison with interferon-beta shows identity at over 30% of the amino acid positions. Interferon alfacon-1 is produced in Escherichia coli (E. coli) cells that have been genetically altered by insertion of a synthetically constructed sequence that codes for Interferon alfacon-1. Prior to final purification, Interferon alfacon-1 is allowed to oxidize to its native state, and its final purity is achieved by sequential passage over a series of chromatography columns. This protein has a molecular weight of 19,434 daltons.","For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma"
DB00070,Highly purified sheep hyaluronidase for administration by injection into the vitreous of the eye.,For increase of absorption and distribution of other injected drugs and for rehydration.
DB00071,"Insulin isolated from pig pancreas. Composed of alpha and beta chains, processed from pro-insulin. Forms a hexameric structure.",For the treatment of type I and II diabetes mellitus.
DB00072,"In December 2017, FDA approved Ogivri (trastuzumab-dkst) as a biosimilar to Herceptin (trastuzumab) for the treatment of patients with breast or metastatic stomach cancer (gastric or gastroesophageal junction adenocarcinoma) whose tumors overexpress the HER2 gene (HER2+). It displays biosimilar properties as Herceptin according to clinical data. While Ogivri is the first biosimilar approved in the U.S. for the treatment of breast cancer or stomach cancer, it is the second biosimilar approved in the U.S. for the treatment of cancer. Herzuma (trastuzumab-pkrb) is a biosimilar drug approved in December 2018 for the treatment of HER2-overexpressing breast cancer. KANJINTI (trastuzumab-anns) is another biosimilar approved by the FDA in June 2019.[L6715]","Indicated for treatment of early stage HER2-positive breast cancer, or metastatic breast cancer that substantially overexpress HER2. The intravenous powder for solution, OGIVRI, is approved in Canada for early breast cancer, metastatic breast cancer, and gastric cancer, provided these cancers overexpress HER2[L6214]."
DB00073,"Rituximab is a genetically engineered chimeric murine/human monoclonal antibody directed against the CD20 antigen found on the surface of normal and malignant B lymphocytes. The antibody is an IgG1 kappa immunoglobulin containing murine light and heavy-chain variable region sequences and human constant region sequences [A40017], [FDA label]. It was originally approved by the U.S. FDA in 1997 as a single agent to treat patients with B-cell Non-Hodgkin's Lymphoma (NHL) [L4811], however, has now been approved for a variety of conditions [FDA label]. On November 28, 2018, the US FDA approved _Truxima_, the first biosimilar to Rituxan (Rituximab) [L4808].","In September 2019, the rituximab injection was approved along with glucocorticoids to manage granulomatosis with polyangiitis (GPA) in addition to microscopic polyangiitis (MPA) in children of at least 2 years of age [L8920]."
DB00074,"A recombinant chimeric (murine/human) monoclonal antibody (IgG1k) that functions as an immunosuppressive agent, specifically binding to and blocking the interleukin-2 receptor a-chain (IL-2R alpha, also known as CD25 antigen) on the surface of activated T-lymphocytes. It is a 144 kDa glycoprotein obtained from fermentation of an established mouse myeloma cell line genetically engineered to express plasmids containing the human heavy and light chain constant region genes and mouse heavy and light chain variable region genes encoding the RFT5 antibody that binds selectively to the IL-2R alpha.",For prophylactic treatment of kidney transplant rejection
DB00075,"Murine monoclonal antibody specific to CD3 T-cell lymphocyte antigens. More specifically it is a purified murine (mouse) monoclonal antibody, directed against the CD3 (T3) receptor on the surface of human T-cells (T-lymphocytes) cultured using the murine ascites method. Muromonab is 93% monomeric immune globulin G type 2a (IgG2a).","For treatment of organ transplant recipients, prevention of organ rejection"
DB00076,Digoxin Immune Fab is a sheep antibody (26-10) FAB fragment from sheep immunized with the digoxin derivative Digoxindicarboxymethylamine. It is used as an antidote for overdose of digoxin.,For treatment of digitoxin overdose or digitalis glycoside toxicity.
DB00078,"Indium or yttrium conjugated murine IgG1 kappa monoclonal antibody directed against the CD20 antigen, which is found on the surface of normal and malignant B lymphocytes. Ibritumomab is produced in Chinese hamster ovary cells and is composed of two murine gamma 1 heavy chains of 445 amino acids each and two kappa light chains of 213 amino acids each.",For treatment of non-Hodgkin's lymphoma
DB00080,". Antibiotics are used in the treatment of infections caused by bacteria. They work by killing bacteria or preventing their growth. Daptomycin will not work for colds, flu, or other virus infections. It was approved in September 2003 for the treatment of complicated skin and soft tissue infections. It has a safety profile similar to other agents commonly administered to treat gram-positive infections.",For the treatment of complicated skin and skin structure infections caused by susceptible strains of Gram-positive microorganisms.
DB00081,"Murine IgG2a lambda monoclonal antibody against CD20 antigen (2 heavy chains of 451 residues, 2 lambda chains of 220 residues). It is produced in an antibiotic-free culture of mammalian cells. It can be covalently linked to Iodine 131 (a radioactive isotope of iodine).","For treatment of non-Hodgkin's lymphoma (CD20 positive, follicular)"
DB00082,"Pegvisomant is a highly selective growth hormone (GH) receptor antagonist. It is used to treat acromegaly.  Unlike dopamine or somatostatin analogs (which inhibit growth hormone secretion), this drug actually blocks the hepatic (GH-mediated) production of insulin like growth factor (IGF-1), which is the main mediator of growth hormone activity.",Pegvisomant is a growth hormone receptor antagonist used for the treatment of acromegaly.
